metric,sta_index,node_id,sta_label,samples,max_db,max_time_s,min_db,min_time_s,mean_db
lte_rsrp,0,6,STA1,30000,-65.3952,0.0002,-66.8153,29.9992,-66.1125
lte_rsrp,1,7,STA2,30000,-48.1615,0.9802,-49.9420,29.9992,-48.7375
lte_rsrp,2,8,STA3,30000,-70.5360,0.0002,-71.1901,29.9962,-70.8559
lte_rsrp,3,9,STA4,30000,-61.5024,29.9992,-63.4797,0.0002,-62.5135
lte_rsrp,4,10,STA5,30000,-43.8094,0.0002,-46.5182,29.9992,-45.1375
lte_sinr,0,6,STA1,30000,57.8439,0.0002,56.4238,29.9992,57.1266
lte_sinr,1,7,STA2,30000,75.0776,0.9852,73.2971,29.9992,74.5016
lte_sinr,2,8,STA3,30000,52.7031,0.0002,52.0490,29.9952,52.3832
lte_sinr,3,9,STA4,30000,61.7367,29.9992,59.7594,0.0002,60.7256
lte_sinr,4,10,STA5,30000,79.4297,0.0002,76.7209,29.9992,78.1015
wifi_rssi,0,6,STA1,347,-52.7735,0.0670,-52.8780,29.9066,-52.8190
wifi_rssi,1,7,STA2,386,-47.3167,0.0613,-47.6209,29.9104,-47.4397
wifi_rssi,2,8,STA3,299,-49.8916,0.0537,-51.0705,29.9167,-50.4799
wifi_rssi,3,9,STA4,297,-52.2359,29.9167,-52.8047,0.0577,-52.4995
wifi_rssi,4,10,STA5,384,-51.4546,0.0633,-52.9150,29.9104,-52.1375
