scenario,status,exit_code,elapsed_sec,switch_events,unique_switch_stas,direction_balance_w2c_minus_c2w,phase,mode,band,sta,payload,seed,threshold,hysteresis,sim_time
Wifi_hybrid_matrix_screening_lte_2g_sta5_50kb_seed6_th-58_h2_t30,ok,0,9.101,0,0,0,screening,lte,2g,5,50kb,6,-58,2,30
Wifi_hybrid_matrix_screening_lte_2g_sta5_50kb_seed6_th-58_h3_t30,ok,0,8.992,0,0,0,screening,lte,2g,5,50kb,6,-58,3,30
Wifi_hybrid_matrix_screening_lte_2g_sta5_50kb_seed6_th-58_h4_t30,ok,0,8.669,0,0,0,screening,lte,2g,5,50kb,6,-58,4,30
Wifi_hybrid_matrix_screening_lte_2g_sta10_50kb_seed6_th-58_h2_t30,ok,0,15.968,1,1,1,screening,lte,2g,10,50kb,6,-58,2,30
Wifi_hybrid_matrix_screening_lte_2g_sta10_50kb_seed6_th-58_h3_t30,ok,0,16.201,1,1,1,screening,lte,2g,10,50kb,6,-58,3,30
Wifi_hybrid_matrix_screening_lte_2g_sta10_50kb_seed6_th-58_h4_t30,ok,0,15.735,1,1,1,screening,lte,2g,10,50kb,6,-58,4,30
Wifi_hybrid_matrix_screening_lte_2g_sta15_50kb_seed6_th-58_h2_t30,ok,0,28.322,0,0,0,screening,lte,2g,15,50kb,6,-58,2,30
Wifi_hybrid_matrix_screening_lte_2g_sta15_50kb_seed6_th-58_h3_t30,ok,0,27.781,0,0,0,screening,lte,2g,15,50kb,6,-58,3,30
Wifi_hybrid_matrix_screening_lte_2g_sta15_50kb_seed6_th-58_h4_t30,ok,0,27.489,0,0,0,screening,lte,2g,15,50kb,6,-58,4,30
Wifi_hybrid_matrix_screening_lte_5g_sta5_50kb_seed6_th-58_h2_t30,ok,0,6.571,1,1,1,screening,lte,5g,5,50kb,6,-58,2,30
Wifi_hybrid_matrix_screening_lte_5g_sta5_50kb_seed6_th-58_h3_t30,ok,0,6.489,1,1,1,screening,lte,5g,5,50kb,6,-58,3,30
