time_s,sta_index,node_id,freq_mhz,inst_rssi_dbm,avg_rssi_dbm
0.0570135,5,11,2412,-55.6565,-55.6565
0.0696358,1,7,2412,-60.6024,-60.6024
0.0696359,5,11,2412,-55.6566,-55.6565
0.0703127,1,7,2412,-60.6024,-60.6024
0.0703128,5,11,2412,-55.6566,-55.6566
0.0703128,0,6,2412,-51.2648,-51.2648
0.0716187,1,7,2412,-60.6024,-60.6024
0.0716188,5,11,2412,-55.6566,-55.6566
0.0716188,0,6,2412,-51.2648,-51.2648
0.0722953,4,10,2412,-59.5628,-59.5628
0.0722953,1,7,2412,-60.6024,-60.6024
0.0722954,5,11,2412,-55.6566,-55.6566
0.0722954,0,6,2412,-51.2649,-51.2648
0.0810266,12,18,2412,-46.9949,-46.9949
0.0850949,15,21,2412,-56.5071,-56.5071
0.0850951,12,18,2412,-46.995,-46.9949
0.0882359,4,10,2412,-59.5631,-59.5628
0.088236,1,7,2412,-60.6022,-60.6024
0.088236,5,11,2412,-55.6568,-55.6566
0.0882361,0,6,2412,-51.2652,-51.2649
0.0895206,17,23,2412,-54.7199,-54.7199
0.0901975,17,23,2412,-54.7199,-54.7199
0.0901977,19,25,2412,-57.7226,-57.7226
0.0929582,12,18,2412,-46.995,-46.9949
0.0936345,15,21,2412,-56.5074,-56.5071
0.0936345,11,17,2412,-44.8715,-44.8715
0.0936347,12,18,2412,-46.995,-46.995
0.0949185,15,21,2412,-56.5074,-56.5071
0.0949185,11,17,2412,-44.8716,-44.8715
0.0949187,12,18,2412,-46.995,-46.995
0.0964585,15,21,2412,-56.5075,-56.5072
0.0964585,11,17,2412,-44.8716,-44.8715
0.0964587,12,18,2412,-46.995,-46.995
0.0971354,15,21,2412,-56.5076,-56.5072
0.0971355,11,17,2412,-44.8717,-44.8716
0.0971356,12,18,2412,-46.995,-46.995
0.0971357,9,15,2412,-64.792,-64.792
0.0991057,16,22,2412,-61.1864,-61.1864
0.101212,4,10,2412,-59.5634,-59.5629
0.101212,1,7,2412,-60.6021,-60.6024
0.101213,5,11,2412,-55.6568,-55.6566
0.101213,0,6,2412,-51.2655,-51.2649
0.102497,16,22,2412,-61.1863,-61.1864
0.103173,14,20,2412,-37.0408,-37.0408
0.103173,16,22,2412,-61.1861,-61.1864
0.104649,4,10,2412,-59.5635,-59.563
0.104649,1,7,2412,-60.602,-60.6023
0.104649,5,11,2412,-55.6569,-55.6566
0.104649,0,6,2412,-51.2655,-51.265
0.105933,14,20,2412,-37.0409,-37.0408
0.105934,16,22,2412,-61.186,-61.1864
0.10661,14,20,2412,-37.041,-37.0408
0.10661,6,12,2412,-50.6191,-50.6191
0.10661,16,22,2412,-61.1859,-61.1863
0.107894,14,20,2412,-37.041,-37.0408
0.107894,6,12,2412,-50.6191,-50.6191
0.107894,16,22,2412,-61.1859,-61.1863
0.108571,14,20,2412,-37.0411,-37.0408
0.108571,6,12,2412,-50.6189,-50.6191
0.108571,16,22,2412,-61.1857,-61.1862
0.108571,2,8,2412,-62.5949,-62.5949
0.111209,17,23,2412,-54.7191,-54.7198
0.114017,14,20,2412,-37.0414,-37.0409
0.114017,6,12,2412,-50.6183,-50.619
0.114017,16,22,2412,-61.1854,-61.1861
0.114694,14,20,2412,-37.0415,-37.041
0.114694,6,12,2412,-50.6182,-50.6189
0.114694,16,22,2412,-61.1853,-61.186
0.114694,3,9,2412,-48.7783,-48.7783
0.116477,15,21,2412,-56.5084,-56.5073
0.116477,11,17,2412,-44.8725,-44.8717
0.116477,12,18,2412,-46.9952,-46.995
0.119504,17,23,2412,-54.7188,-54.7197
0.120181,17,23,2412,-54.7187,-54.7196
0.120181,7,13,2412,-54.4418,-54.4418
0.120181,19,25,2412,-57.7234,-57.7226
0.121465,17,23,2412,-54.7187,-54.7195
0.121465,7,13,2412,-54.4418,-54.4418
0.121465,19,25,2412,-57.7234,-57.7227
0.122141,17,23,2412,-54.7186,-54.7194
0.122141,8,14,2412,-53.5779,-53.5779
0.122142,19,25,2412,-57.7235,-57.7228
0.124536,4,10,2412,-59.5639,-59.5631
0.124536,1,7,2412,-60.6018,-60.6023
0.124536,5,11,2412,-55.657,-55.6567
0.126135,15,21,2412,-56.5088,-56.5075
0.126135,11,17,2412,-44.873,-44.8718
0.126135,12,18,2412,-46.9952,-46.995
0.126135,9,15,2412,-64.7917,-64.792
0.126812,15,21,2412,-56.5089,-56.5076
0.126812,11,17,2412,-44.8731,-44.8719
0.126812,18,24,2412,-50.9831,-50.9831
0.126812,12,18,2412,-46.9952,-46.995
0.126812,9,15,2412,-64.7916,-64.7919
0.128096,17,23,2412,-54.7184,-54.7193
0.128096,7,13,2412,-54.4418,-54.4418
0.128096,8,14,2412,-53.5778,-53.5779
0.128097,19,25,2412,-57.7236,-57.7229
0.128773,17,23,2412,-54.7184,-54.7192
0.128773,7,13,2412,-54.4418,-54.4418
0.128773,8,14,2412,-53.5777,-53.5779
0.128774,19,25,2412,-57.7237,-57.723
0.128774,13,19,2412,-52.3854,-52.3854
0.131619,14,20,2412,-37.0424,-37.0411
0.131619,6,12,2412,-50.6163,-50.6187
0.13162,16,22,2412,-61.1842,-61.1859
0.132002,17,23,2412,-54.7183,-54.7191
0.132002,7,13,2412,-54.4418,-54.4418
0.132002,8,14,2412,-53.5777,-53.5779
0.133827,17,23,2412,-54.7182,-54.719
0.133827,7,13,2412,-54.4418,-54.4418
0.133827,8,14,2412,-53.5776,-53.5779
0.133828,19,25,2412,-57.7238,-57.723
0.133828,13,19,2412,-52.3853,-52.3854
0.135689,15,21,2412,-56.5092,-56.5078
0.135689,11,17,2412,-44.8734,-44.8721
0.135689,18,24,2412,-50.9834,-50.9831
0.135689,12,18,2412,-46.9953,-46.9951
0.13569,9,15,2412,-64.7916,-64.7919
0.137533,14,20,2412,-37.0428,-37.0413
0.137533,6,12,2412,-50.6156,-50.6184
0.137533,16,22,2412,-61.1837,-61.1856
0.137533,3,9,2412,-48.7781,-48.7783
0.137534,2,8,2412,-62.5952,-62.595
0.159014,17,23,2412,-54.7172,-54.7189
0.159014,7,13,2412,-54.4419,-54.4418
0.159014,8,14,2412,-53.5768,-53.5777
0.159014,19,25,2412,-57.7245,-57.7232
0.159015,13,19,2412,-52.3846,-52.3853
0.181091,15,21,2412,-56.5112,-56.5081
0.181091,11,17,2412,-44.8755,-44.8724
0.181091,18,24,2412,-50.9851,-50.9833
0.181091,12,18,2412,-46.9956,-46.9951
0.181091,9,15,2412,-64.791,-64.7918
0.193956,14,20,2412,-37.0462,-37.0418
0.193956,6,12,2412,-50.609,-50.6174
0.193956,16,22,2412,-61.1796,-61.185
0.193956,3,9,2412,-48.7778,-48.7782
0.193957,2,8,2412,-62.5956,-62.595
0.205842,4,10,2412,-59.5658,-59.5633
0.205842,1,7,2412,-60.6009,-60.6021
0.205842,5,11,2412,-55.6576,-55.6568
0.205842,0,6,2412,-51.2676,-51.2653
0.261414,17,23,2412,-54.7132,-54.7183
0.261414,7,13,2412,-54.4423,-54.4418
0.261414,8,14,2412,-53.5734,-53.5773
0.261414,19,25,2412,-57.7274,-57.7236
0.261415,13,19,2412,-52.3817,-52.3849
0.283491,15,21,2412,-56.5157,-56.5089
0.283491,11,17,2412,-44.8803,-44.8732
0.283491,18,24,2412,-50.9888,-50.9839
0.283491,12,18,2412,-46.9962,-46.9952
0.283491,9,15,2412,-64.7898,-64.7916
0.296356,14,20,2412,-37.0523,-37.0428
0.296356,6,12,2412,-50.5969,-50.6154
0.296356,16,22,2412,-61.1721,-61.1838
0.296356,3,9,2412,-48.7771,-48.7781
0.296357,2,8,2412,-62.5964,-62.5952
0.308242,4,10,2412,-59.5681,-59.5638
0.308242,1,7,2412,-60.5997,-60.6019
0.308242,5,11,2412,-55.6583,-55.6569
0.308242,0,6,2412,-51.2697,-51.2657
0.363814,17,23,2412,-54.7092,-54.7174
0.363814,7,13,2412,-54.4426,-54.4419
0.363814,8,14,2412,-53.57,-53.5766
0.363814,19,25,2412,-57.7303,-57.7243
0.363815,13,19,2412,-52.3789,-52.3843
0.385891,15,21,2412,-56.5202,-56.51
0.385891,11,17,2412,-44.885,-44.8744
